Entity,Code,Year,Renewables (%electricity)
Africa,,1985,19.197454
Africa,,1986,19.179012
Africa,,1987,17.738724
Africa,,1988,18.361074
Africa,,1989,18.553274
Africa,,1990,18.207285
Africa,,1991,18.917315
Africa,,1992,17.901201
Africa,,1993,16.99157
Africa,,1994,16.630821
Africa,,1995,16.758926
Africa,,1996,16.634296
Africa,,1997,16.272135
Africa,,1998,16.819448
Africa,,1999,17.294086
Africa,,2000,18.374432
Africa,,2001,19.263138
Africa,,2002,18.668484
Africa,,2003,17.521225
Africa,,2004,17.567488
Africa,,2005,17.419956
Africa,,2006,17.282114
Africa,,2007,16.92582
Africa,,2008,17.006596
Africa,,2009,17.57653
Africa,,2010,17.634817
Africa,,2011,17.671211
Africa,,2012,17.093758
Africa,,2013,17.647554
Africa,,2014,18.590454
Africa,,2015,18.623781
Africa,,2016,18.739191
Africa,,2017,19.122046
Africa,,2018,20.473812
Africa,,2019,21.454725
Africa,,2020,22.731155
Africa,,2021,22.963007
Africa (BP),,1985,19.197454
Africa (BP),,1986,19.179014
Africa (BP),,1987,17.738724
Africa (BP),,1988,18.361078
Africa (BP),,1989,18.553274
Africa (BP),,1990,18.207285
Africa (BP),,1991,18.917315
Africa (BP),,1992,17.901201
Africa (BP),,1993,16.991568
Africa (BP),,1994,16.630821
Africa (BP),,1995,16.758926
Africa (BP),,1996,16.634296
Africa (BP),,1997,16.272135
Africa (BP),,1998,16.819447
Africa (BP),,1999,17.294086
Africa (BP),,2000,17.654526
Africa (BP),,2001,18.216648
Africa (BP),,2002,18.0019
Africa (BP),,2003,16.845776
Africa (BP),,2004,16.825418
Africa (BP),,2005,16.532818
Africa (BP),,2006,16.498604
Africa (BP),,2007,16.27717
Africa (BP),,2008,16.296865
Africa (BP),,2009,16.63348
Africa (BP),,2010,16.941187
Africa (BP),,2011,17.035778
Africa (BP),,2012,16.439018
Africa (BP),,2013,16.964638
Africa (BP),,2014,17.726316
Africa (BP),,2015,17.680172
Africa (BP),,2016,17.64968
Africa (BP),,2017,18.653673
Africa (BP),,2018,19.723248
Africa (BP),,2019,20.735146
Africa (BP),,2020,22.43074
Africa (BP),,2021,22.54922
Asia,,1985,18.021776
Asia,,1986,17.217163
Asia,,1987,16.428139
Asia,,1988,17.556263
Asia,,1989,16.813385
Asia,,1990,16.312374
Asia,,1991,15.670186
Asia,,1992,14.945118
Asia,,1993,15.742844
Asia,,1994,14.605704
Asia,,1995,14.895889
Asia,,1996,14.109113
Asia,,1997,13.528753
Asia,,1998,13.913553
Asia,,1999,13.041746
Asia,,2000,13.29965
Asia,,2001,13.711943
Asia,,2002,13.305848
Asia,,2003,12.906311
Asia,,2004,13.81895
Asia,,2005,13.493234
Asia,,2006,13.684091
Asia,,2007,13.271046
Asia,,2008,14.764971
Asia,,2009,14.237518
Asia,,2010,14.998569
Asia,,2011,14.592348
Asia,,2012,16.109682
Asia,,2013,16.681847
Asia,,2014,17.621546
Asia,,2015,18.716984
Asia,,2016,19.39271
Asia,,2017,20.155329
Asia,,2018,20.771847
Asia,,2019,22.13152
Asia,,2020,23.373877
Asia,,2021,23.770035
Asia Pacific (BP),,1985,19.79031
Asia Pacific (BP),,1986,19.28582
Asia Pacific (BP),,1987,17.714008
Asia Pacific (BP),,1988,18.171684
Asia Pacific (BP),,1989,18.117981
Asia Pacific (BP),,1990,17.083284
Asia Pacific (BP),,1991,16.452162
Asia Pacific (BP),,1992,15.28392
Asia Pacific (BP),,1993,15.889174
Asia Pacific (BP),,1994,14.814617
Asia Pacific (BP),,1995,15.188278
Asia Pacific (BP),,1996,14.1712
Asia Pacific (BP),,1997,13.694318
Asia Pacific (BP),,1998,14.187581
Asia Pacific (BP),,1999,13.470428
Asia Pacific (BP),,2000,13.290402
Asia Pacific (BP),,2001,13.848089
Asia Pacific (BP),,2002,13.250928
Asia Pacific (BP),,2003,12.754509
Asia Pacific (BP),,2004,13.7065
Asia Pacific (BP),,2005,13.436297
Asia Pacific (BP),,2006,13.743126
Asia Pacific (BP),,2007,13.557073
Asia Pacific (BP),,2008,15.290678
Asia Pacific (BP),,2009,14.792569
Asia Pacific (BP),,2010,15.5692215
Asia Pacific (BP),,2011,15.241641
Asia Pacific (BP),,2012,16.65729
Asia Pacific (BP),,2013,17.534136
Asia Pacific (BP),,2014,18.861
Asia Pacific (BP),,2015,19.888912
Asia Pacific (BP),,2016,20.574503
Asia Pacific (BP),,2017,21.415321
Asia Pacific (BP),,2018,22.087147
Asia Pacific (BP),,2019,23.091784
Asia Pacific (BP),,2020,24.607698
Asia Pacific (BP),,2021,25.308233
Central America (BP),,1985,79.92793
Central America (BP),,1986,87.975555
Central America (BP),,1987,83.7704
Central America (BP),,1988,86.227165
Central America (BP),,1989,88.621956
Central America (BP),,1990,88.7516
Central America (BP),,1991,82.9108
Central America (BP),,1992,72.96061
Central America (BP),,1993,75.404205
Central America (BP),,1994,70.89711
Central America (BP),,1995,66.66999
Central America (BP),,1996,74.529434
