Entity,Code,Year,Renewables (% electricity)
Africa,,1985,19.197454
Africa,,1986,19.179012
Africa,,1987,17.738724
Africa,,1988,18.361074
Africa,,1989,18.553274
Africa,,1990,18.207285
Africa,,1991,18.917315
Africa,,1992,17.901201
Africa,,1993,16.99157
Africa,,1994,16.630821
Africa,,1995,16.758926
Africa,,1996,16.634296
Africa,,1997,16.272135
Africa,,1998,16.819448
Africa,,1999,17.294086
Africa,,2000,18.374432
Africa,,2001,19.263138
Africa,,2002,18.668484
Africa,,2003,17.521225
Africa,,2004,17.567488
Africa,,2005,17.419956
Africa,,2006,17.282114
Africa,,2007,16.92582
Africa,,2008,17.006596
Africa,,2009,17.57653
Africa,,2010,17.634817
Africa,,2011,17.671211
Africa,,2012,17.093758
Africa,,2013,17.647554
Africa,,2014,18.590454
Africa,,2015,18.623781
Africa,,2016,18.739191
Africa,,2017,19.122046
Africa,,2018,20.473812
Africa,,2019,21.454725
Africa,,2020,22.731155
Africa,,2021,22.963007
Africa (BP),,1985,19.197454
Africa (BP),,1986,19.179014
Africa (BP),,1987,17.738724
Africa (BP),,1988,18.361078
Africa (BP),,1989,18.553274
Africa (BP),,1990,18.207285
Africa (BP),,1991,18.917315
Africa (BP),,1992,17.901201
Africa (BP),,1993,16.991568
Africa (BP),,1994,16.630821
Africa (BP),,1995,16.758926
Africa (BP),,1996,16.634296
Africa (BP),,1997,16.272135
Africa (BP),,1998,16.819447
Africa (BP),,1999,17.294086
Africa (BP),,2000,17.654526
Africa (BP),,2001,18.216648
Africa (BP),,2002,18.0019
Africa (BP),,2003,16.845776
Africa (BP),,2004,16.825418
Africa (BP),,2005,16.532818
Africa (BP),,2006,16.498604
Africa (BP),,2007,16.27717
Africa (BP),,2008,16.296865
Africa (BP),,2009,16.63348
Africa (BP),,2010,16.941187
Africa (BP),,2011,17.035778
Africa (BP),,2012,16.439018
Africa (BP),,2013,16.964638
Africa (BP),,2014,17.726316
Africa (BP),,2015,17.680172
Africa (BP),,2016,17.64968
Africa (BP),,2017,18.653673
Africa (BP),,2018,19.723248
Africa (BP),,2019,20.735146
Africa (BP),,2020,22.43074
Africa (BP),,2021,22.54922
Algeria,DZA,1985,5.2631583
Algeria,DZA,1986,1.9258916
Algeria,DZA,1987,3.9223394
Algeria,DZA,1988,1.310325
Algeria,DZA,1989,1.4748107
Algeria,DZA,1990,0.8383011
Algeria,DZA,1991,1.6892477
Algeria,DZA,1992,1.0882642
Algeria,DZA,1993,1.8182755
Algeria,DZA,1994,0.83488405
Algeria,DZA,1995,0.9789501
Algeria,DZA,1996,0.6536265
Algeria,DZA,1997,0.34888592
Algeria,DZA,1998,0.9242542
Algeria,DZA,1999,0.8199701
Algeria,DZA,2000,0.20929259
Algeria,DZA,2001,0.2796644
Algeria,DZA,2002,0.23085803
Algeria,DZA,2003,0.93491554
Algeria,DZA,2004,0.8506295
Algeria,DZA,2005,1.7235976
Algeria,DZA,2006,0.6640507
Algeria,DZA,2007,0.6289308
Algeria,DZA,2008,0.74015325
Algeria,DZA,2009,0.8285005
Algeria,DZA,2010,0.39534885
Algeria,DZA,2011,1.0379905
Algeria,DZA,2012,1.1483607
Algeria,DZA,2013,0.58604157
Algeria,DZA,2014,0.41390726
Algeria,DZA,2015,0.34013605
Algeria,DZA,2016,0.509287
Algeria,DZA,2017,0.8951049
Algeria,DZA,2018,1.0816808
Algeria,DZA,2019,1.0953188
Algeria,DZA,2020,0.9898268
Algeria,DZA,2021,1.1735878
Argentina,ARG,1985,45.853027
Argentina,ARG,1986,43.15237
Argentina,ARG,1987,42.24961
Argentina,ARG,1988,29.299515
Argentina,ARG,1989,26.135784
Argentina,ARG,1990,34.989185
Argentina,ARG,1991,29.710293
Argentina,ARG,1992,34.389725
Argentina,ARG,1993,38.57245
Argentina,ARG,1994,41.73245
Argentina,ARG,1995,39.635246
Argentina,ARG,1996,32.54642
Argentina,ARG,1997,38.803555
Argentina,ARG,1998,36.01876
Argentina,ARG,1999,26.86689
Argentina,ARG,2000,33.88856
Argentina,ARG,2001,42.82576
Argentina,ARG,2002,44.43623
Argentina,ARG,2003,39.006126
Argentina,ARG,2004,32.42763
Argentina,ARG,2005,34.304974
Argentina,ARG,2006,34.712746
Argentina,ARG,2007,28.128101
Argentina,ARG,2008,27.25926
Argentina,ARG,2009,29.836628
Argentina,ARG,2010,28.761284
Argentina,ARG,2011,26.419552
Argentina,ARG,2012,24.0345
Argentina,ARG,2013,26.475702
Argentina,ARG,2014,26.075413
Argentina,ARG,2015,24.65346
Argentina,ARG,2016,22.214266
Argentina,ARG,2017,24.103342
Argentina,ARG,2018,25.016096
Argentina,ARG,2019,26.006308
Argentina,ARG,2020,26.714254
Argentina,ARG,2021,25.347696
Asia,,1985,18.021776
Asia,,1986,17.217163
Asia,,1987,16.428139
Asia,,1988,17.556263
Asia,,1989,16.813385
Asia,,1990,16.312374
Asia,,1991,15.670186
Asia,,1992,14.945118
Asia,,1993,15.742844
Asia,,1994,14.605704
